Time,Temperature,Wind Speed,Wind Direction,Precipitation,Humidity,Pressure
2025-04-01 12:00:00+00:00,11.4,3.8,29.7,0.0,47.2,1027.8
2025-04-01 18:00:00+00:00,8.0,3.7,7.9,0.0,61.0,1027.1
2025-04-02 00:00:00+00:00,3.9,4.2,20.5,0.0,68.1,1027.7
2025-04-02 06:00:00+00:00,3.2,3.3,21.7,0.0,82.0,1030.0
2025-04-02 12:00:00+00:00,10.7,3.3,201.9,0.0,54.5,1028.0
2025-04-02 18:00:00+00:00,7.7,3.5,246.9,0.0,78.2,1027.0
2025-04-03 00:00:00+00:00,5.0,3.6,24.1,0.0,71.5,1026.1
2025-04-03 06:00:00+00:00,3.9,3.5,23.5,0.0,76.1,1029.2
2025-04-03 12:00:00+00:00,11.2,3.4,202.1,0.0,65.1,1027.1
2025-04-03 18:00:00+00:00,8.1,3.4,256.1,0.0,64.8,1023.3
2025-04-04 00:00:00+00:00,4.9,3.3,26.2,0.0,76.2,1026.1
2025-04-04 06:00:00+00:00,4.3,3.4,29.4,0.0,77.6,1027.2
